date,official_outlet_m3s,official_et_mm,official_surq_gen_mm,official_perc_mm,official_latq_mm,official_snopack_mm,official_soil_layer2_C,existing_ft_outlet_m3s,existing_ft_et_mm,existing_ft_surq_gen_mm,existing_ft_perc_mm,existing_ft_latq_mm,existing_ft_snopack_mm,existing_ft_soil_layer2_C,shaw_outlet_m3s,shaw_et_mm,shaw_surq_gen_mm,shaw_perc_mm,shaw_latq_mm,shaw_snopack_mm,shaw_soil_layer2_C
2021-03-17,5.54e-07,0.9,0.002,0.001,0.002,0.294,-5.577,0.002844,0.942,0.001,0.075,0.046,0.294,1.104,0.03728,0.363,0.0,3.37,0.0,59.216,0.54
2021-03-18,2.857e-06,0.614,0.039,0.049,0.004,0.0,-5.19,0.002821,0.639,0.001,0.059,0.038,0.0,-1.008,0.04088,0.377,0.001,2.743,0.0,55.64,0.554
2021-03-19,1.603e-07,0.725,0.002,0.001,0.003,0.0,-5.282,0.002779,0.76,0.0,0.051,0.03,0.0,-4.207,0.04361,0.588,0.0,2.404,0.0,53.623,0.569
2021-03-20,9.226e-08,0.712,0.0,0.051,0.004,0.0,-4.682,0.002782,0.746,0.0,0.072,0.036,0.0,0.474,0.04599,0.306,0.0,2.306,0.0,50.074,0.581
2021-03-21,4.997e-07,0.611,0.0,0.051,0.005,0.0,-3.584,0.002785,0.637,0.0,0.072,0.04,0.0,4.393,0.04824,0.187,0.0,2.299,0.0,39.369,0.604
2021-03-22,4.297e-08,1.203,0.0,0.051,0.006,0.0,-2.367,0.002793,1.263,0.0,0.075,0.046,0.0,6.379,0.05087,0.69,0.0,2.589,0.0,22.888,0.864
2021-03-23,3.55e-08,1.323,0.0,0.053,0.006,0.0,-1.142,0.002809,1.391,0.0,0.079,0.054,0.0,7.521,0.0656,0.875,0.0,9.042,0.0,9.831,4.57
2021-03-24,5.067e-06,0.465,0.207,0.07,0.016,0.0,-0.064,0.00284,0.484,0.007,0.085,0.065,0.0,7.352,0.08619,0.408,0.007,12.502,0.0,3.891,7.191
2021-03-25,6.675e-07,0.611,0.017,0.089,0.04,0.0,1.298,0.002879,0.637,0.857,0.091,0.078,0.0,9.754,0.1008,0.452,0.0,10.164,0.0,1.052,10.776
2021-03-26,0.0001015,0.424,13.392,0.092,0.061,0.0,1.825,0.0001874,0.441,33.856,0.1,0.096,0.0,5.923,0.1096,1.046,0.369,7.357,0.0,0.0,8.682
